GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,MIN_TOT,PTS_RATE,FGM_RATE,FGA_RATE,3P Made_RATE,3PA_RATE,FTM_RATE,FTA_RATE,OREB_RATE,DREB_RATE,REB_RATE,AST_RATE,STL_RATE,BLK_RATE,TOV_RATE,MIN_CAT_MIN<10,MIN_CAT_MIN<20,MIN_CAT_MIN<30,MIN_CAT_MIN>30,GP_CAT_GP<28,GP_CAT_GP<56,GP_CAT_GP≥56
69,11.8,3.6,1.6,3.6,45.2,0.0,0.0,100.0,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,814.2,0.30508474576271183,0.13559322033898305,0.30508474576271183,0.0,0.0,0.02542372881355932,0.03389830508474576,0.09322033898305085,0.13559322033898305,0.2288135593220339,0.05084745762711864,0.0423728813559322,0.02542372881355932,0.05084745762711864,False,True,False,False,False,False,True
45,7.9,3.7,1.4,2.5,57.1,0.0,0.0,0.0,0.8,2.0,41.8,0.8,1.0,1.8,0.5,0.3,0.2,0.4,355.5,0.46835443037974683,0.1772151898734177,0.31645569620253167,0.0,0.0,0.10126582278481013,0.25316455696202533,0.10126582278481013,0.12658227848101267,0.22784810126582278,0.06329113924050633,0.0379746835443038,0.02531645569620253,0.05063291139240506,True,False,False,False,False,True,False
34,10.2,4.8,1.8,4.8,38.0,0.0,0.3,10.0,1.1,1.3,82.2,0.4,1.1,1.5,0.4,0.1,0.0,0.7,346.79999999999995,0.4705882352941177,0.17647058823529416,0.4705882352941177,0.0,0.029411764705882356,0.107843137254902,0.12745098039215688,0.03921568627450981,0.107843137254902,0.1470588235294118,0.03921568627450981,0.009803921568627453,0.0,0.06862745098039216,False,True,False,False,False,True,False
64,17.7,4.6,1.8,3.6,51.8,0.0,0.0,0.0,0.9,1.8,50.4,1.8,3.6,5.4,0.9,0.9,1.2,1.2,1132.8,0.2598870056497175,0.1016949152542373,0.2033898305084746,0.0,0.0,0.05084745762711865,0.1016949152542373,0.1016949152542373,0.2033898305084746,0.3050847457627119,0.05084745762711865,0.05084745762711865,0.06779661016949153,0.06779661016949153,False,True,False,False,False,False,True
39,8.5,3.1,1.3,2.3,54.4,0.0,0.0,0.0,0.5,1.0,53.8,1.0,1.9,2.9,0.5,0.5,0.3,0.5,331.5,0.3647058823529412,0.15294117647058825,0.27058823529411763,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.22352941176470587,0.3411764705882353,0.058823529411764705,0.058823529411764705,0.03529411764705882,0.058823529411764705,True,False,False,False,False,True,False
80,19.5,7.1,3.0,6.3,47.5,0.1,0.3,30.0,1.1,1.3,85.0,0.6,1.5,2.1,2.6,0.8,0.2,1.0,1560.0,0.3641025641025641,0.15384615384615385,0.3230769230769231,0.005128205128205128,0.015384615384615385,0.05641025641025641,0.06666666666666667,0.03076923076923077,0.07692307692307693,0.1076923076923077,0.13333333333333333,0.041025641025641026,0.010256410256410256,0.05128205128205128,False,True,False,False,False,False,True
39,13.8,5.6,2.2,4.4,50.0,0.2,0.5,38.9,1.0,1.4,71.4,0.7,1.3,1.9,0.5,0.2,0.1,0.5,538.2,0.4057971014492753,0.15942028985507248,0.31884057971014496,0.014492753623188406,0.03623188405797101,0.07246376811594202,0.10144927536231882,0.05072463768115941,0.09420289855072464,0.13768115942028983,0.03623188405797101,0.014492753623188406,0.007246376811594203,0.03623188405797101,False,True,False,False,False,True,False
41,15.2,4.1,1.9,4.1,47.3,0.0,0.0,0.0,0.3,0.3,78.6,1.1,3.0,4.2,0.8,0.3,0.4,0.5,623.1999999999999,0.26973684210526316,0.125,0.26973684210526316,0.0,0.0,0.019736842105263157,0.019736842105263157,0.0723684210526316,0.1973684210526316,0.2763157894736843,0.05263157894736843,0.019736842105263157,0.026315789473684216,0.03289473684210527,False,True,False,False,False,True,False
37,14.6,4.4,1.7,4.0,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,540.1999999999999,0.30136986301369867,0.11643835616438357,0.27397260273972607,0.03424657534246576,0.10958904109589043,0.027397260273972608,0.04794520547945206,0.08904109589041097,0.17808219178082194,0.2671232876712329,0.020547945205479454,0.04109589041095891,0.03424657534246576,0.03424657534246576,False,True,False,False,False,True,False
37,11.6,3.0,1.0,2.2,45.7,0.0,0.0,0.0,1.0,1.2,80.0,0.8,1.4,2.2,0.2,0.2,0.1,0.6,429.2,0.25862068965517243,0.08620689655172414,0.18965517241379312,0.0,0.0,0.08620689655172414,0.10344827586206896,0.06896551724137931,0.12068965517241378,0.18965517241379312,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.05172413793103448,False,True,False,False,False,True,False
